Old structure -Filename;Filename;id;Latex_Filename;CAS Number;Name ;bib_ref;Publication (latex);Model Type;Speicherort;memory location;Desc;Type;;;
CBrClF2.pm;CBrClF2.pm;;CBrClF2.pm;353-59-3;Bromochlorodifluoromethane;0;\parencite{Stoll2003};2 L.J. Centers & 1 Dipole;TAUSCHVERZEICHNIS\Potentiale\pm\OK;pm\ok;-;Rigid;;;
CHClBr-CF3.pm;CC2HBrClF3.pm;;CC2HBrClF3.pm;151-67-7;Halothane;0;\parencite{Stoll2003};2 L.J. Centers & 1 Dipole;TAUSCHVERZEICHNIS\Potentiale\pm\OK;pm\ok;-;Rigid;;;
PhosgenRU.pm;CCl2O.pm;;CCl2O.pm;75-44-5;Phosgene;0;\parencite{Huang2011};4 L.J. Centers & 1 Dipole & 1 Quadrupole;TAUSCHVERZEICHNIS\Potentiale\pm\OK;pm\ok;-;Rigid;;;
CCl4.pm;CCl4_I.pm;;CCl4\_I.pm;56-23-5;Carbon tetrachloride;0;\parencite{Vrabec2001};2 L.J. Centers & 1 Quadrupole;TAUSCHVERZEICHNIS\Potentiale\pm\OK;pm\ok;-;Rigid;;;
N.A.;CCl4_II.pm;;CCl4\_II.pm;56-23-5;Carbon tetrachloride;0;\parencite{Guevara-Carrion2016};5 L.J. Centers & 5 Charges;;pm\ok;-;Rigid;;;
CNCl.pm;CClN.pm;;CClN.pm;506-77-4;Cyanogen chloride;0;\parencite{Miroshnichenko2013};3 L.J. Centers & 1 Quadrupole & 1 Dipole;TAUSCHVERZEICHNIS\Potentiale\pm\OK;pm\ok;-;Rigid;;;
CFBr=CF2.pm;CF2CFBr.pm;;CF2CFBr.pm;598-73-2;Bromotrifluoroethylene ;0;\parencite{Stoll2003};2 L.J. Centers & 1 Dipole;TAUSCHVERZEICHNIS\Potentiale\pm\OK;pm\ok;-;Rigid;;;
CF4.pm;CF4_II.pm;;CF4\_II.pm;75-73-0;Tetrafluoromethane;0;\parencite{Vrabec2001};2 L.J. Centers & 1 Quadrupole;TAUSCHVERZEICHNIS\Potentiale\pm\OK;pm\ok;-;Rigid;;;
CH2Br2_D.pm;CH2Br2_D.pm;;CH2Br2\_D.pm;74-95-3;Dibromomethane;0;\parencite{Stoll2003};1 L.J. Center & 1 Dipole;TAUSCHVERZEICHNIS\Potentiale\pm\OK;pm\ok;-;Rigid;;;
CH2Br2_Q.pm;CH2Br2_Q.pm;;CH2Br2\_Q.pm;74-95-3;Dibromomethane;0;\parencite{Stoll2003};2 L.J. Centers & 1 Quadrupole;TAUSCHVERZEICHNIS\Potentiale\pm\OK;pm\ok;-;Rigid;;;
CH2BrCl.pm;CH2BrCl.pm;;CH2BrCl.pm;74-97-5;Bromochloromethane;0;\parencite{Stoll2003};2 L.J. Centers & 1 Dipole;TAUSCHVERZEICHNIS\Potentiale\pm\OK;pm\ok;-;Rigid;;;
CH2Cl2.pm;CH2Cl2.pm;;CH2Cl2.pm;75-09-2;Methylene chloride;0;\parencite{Stoll2003};1 L.J. Center & 1 Dipole;TAUSCHVERZEICHNIS\Potentiale\pm\OK;pm\ok;-;Rigid;;;
CH2I2.pm;CH2I2.pm;;CH2I2.pm;75-11-6;Methylene iodide;0;\parencite{Stoll2003};1 L.J. Center & 1 Dipole;TAUSCHVERZEICHNIS\Potentiale\pm\OK;pm\ok;-;Rigid;;;
CH2O.pm;CH2O.pm;;CH2O.pm;50-00-0;Formaldehyde;0;\parencite{Eckl2008_C};2 L.J. Centers & 1 Dipole;TAUSCHVERZEICHNIS\Potentiale\pm\OK;pm\ok;-;Rigid;;;
CHOOH.pm;CH2O2.pm;;CH2O2.pm;64-18-6;Formic acid;0;\parencite{Schnabel2007_B};3 L.J. Centers & 4 Charges;TAUSCHVERZEICHNIS\Potentiale\pm\OK;pm\ok;-;Rigid;;;
R30B2.pm;R30B2.pm;;R30B2.pm;74-95-3;Dibromomethane;;\parencite{Stoll2003};2 L.J. Centers;TAUSCHVERZEICHNIS\Potentiale\pm\unnštig_doppelt;pm\others\delete - old name;-;Rigid;;;
CH3Br.pm;CH3Br.pm;;CH3Br.pm;74-83-9;Methyl bromide;0;\parencite{Stoll2003};2 L.J. Centers & 1 Dipole;TAUSCHVERZEICHNIS\Potentiale\pm\OK;pm\ok;-;Rigid;;;
CH3Cl.pm;CH3Cl.pm;;CH3Cl.pm;74-87-3;Methyl chloride;0;\parencite{Stoll2003};2 L.J. Centers & 1 Dipole;TAUSCHVERZEICHNIS\Potentiale\pm\OK;pm\ok;-;Rigid;;;
CH3I.pm;CH3I.pm;;CH3I.pm;74-88-4;Methyl iodide;0;\parencite{Stoll2003};2 L.J. Centers & 1 Dipole;TAUSCHVERZEICHNIS\Potentiale\pm\OK;pm\ok;-;Rigid;;;
NO2CH3.pm;CH3NO2.pm;;CH3NO2.pm;75-52-5;Nitromethane;0;\parencite{Eckl2008_C};4 L.J. Centers & 1 Dipole & 1 Quadrupole;TAUSCHVERZEICHNIS\Potentiale\pm\OK;pm\ok;-;Rigid;;;
dme.pm;CH3OCH3.pm;;CH3OCH3.pm;115-10-6;Dimethyl ether;0;\parencite{Eckl2008_C};3 L.J. Centers & 1 Dipole ;TAUSCHVERZEICHNIS\Potentiale\pm\OK;pm\ok;-;Rigid;;;
CH4.pm;CH4.pm;;CH4.pm;74-82-8;Methane;0;\parencite{Vrabec2001};1 L.J. Center;TAUSCHVERZEICHNIS\Potentiale\pm\OK;pm\ok;-;Rigid;;;
MeOH.pm;CH4O_I.pm;;CH4O\_I.pm;67-56-1;Methyl alcohol;0;\parencite{Schnabel2007_A};2 L.J. Centers & 3 Charges;TAUSCHVERZEICHNIS\Potentiale\pm\ok;pm\ok;-;Rigid;;;
mma.pm;CH5N.pm;;CH5N.pm;74-89-5;Methylamine;0;\parencite{Schnabel2008};2 L.J. Centers & 2 Charges;TAUSCHVERZEICHNIS\Potentiale\pm\ok;pm\ok;-;Rigid;;;
CH6N2.pm;CH6N2.pm;;CH6N2.pm;60-34-4;Methylhydrazine;0;\parencite{Elts2012};3 L.J. Centers & 3 Charges;TAUSCHVERZEICHNIS\Potentiale\pm\OK;pm\ok;-;Rigid;;;
CHBr3.pm;CHBr3.pm;;CHBr3.pm;75-25-2;Bromoform;0;\parencite{Stoll2003};2 L.J. Centers & 1 Dipole;TAUSCHVERZEICHNIS\Potentiale\pm\OK;pm\ok;-;Rigid;;;
C3H4-yne.pm;CHCCH3_I.pm;;CHCCH3\_I.pm;74-99-7;1-Propyne;0;\parencite{Vrabec2001};2 L.J. Centers & 1 Quadrupole;TAUSCHVERZEICHNIS\Potentiale\pm\OK;pm\ok;-;Rigid;;;
CHCCH3.pm;CHCCH3_II.pm;;CHCCH3\_II.pm;74-99-7;1-Propyne;0;\parencite{Stoll2004};2 L.J. Centers & 1 Quadrupole;TAUSCHVERZEICHNIS\Potentiale\pm\unnštig_doppelt;pm\ok;-;Rigid;;;
CHFCl2.pm;CHCl2F.pm;;CHCl2F.pm;75-43-4;Dichlorofluoromethane;0;\parencite{Stoll2003};2 L.J. Centers & 1 Dipole;TAUSCHVERZEICHNIS\Potentiale\pm\OK;pm\ok;-;Rigid;;;
CHCl3.pm;CHCl3.pm;;CHCl3.pm;67-66-3;Chloroform;0;\parencite{Stoll2003};2 L.J. Centers & 1 Dipole;TAUSCHVERZEICHNIS\Potentiale\pm\OK;pm\ok;-;Rigid;;;
HCN.pm;CHN.pm;;CHN.pm;74-90-8;Hydrogen cyanide;0;\parencite{Eckl2008_C};2 L.J. Centers & 1 Dipole & 1 Quadrupole;TAUSCHVERZEICHNIS\Potentiale\pm\OK;pm\ok;-;Rigid;;;
N.A.;Cl-.pm;;Cl-.pm;16887-00-6;Chlorine ion (1-);0;\parencite{Reiser2014};1 L.J. Center & 1 Charge;;pm\ok;-;Rigid;;;
Cl2.pm;Cl2.pm;;Cl2.pm;7782-50-5;Chlorine ;0;\parencite{Vrabec2001};2 L.J. Centers & 1 Quadrupole;TAUSCHVERZEICHNIS\Potentiale\pm\OK;pm\ok;-;Rigid;;;
